id;age;dev;ncp;inti;sde;cha;dou;ddd;ddc;nom_fic;date_arrete
1;Liaison Cedi;Handcrafted Regional harness;initiatives Jewelery;Senior whiteboard;80576;Berkshire;2020-09-11;2020-09-12;2020-09-11;world-class New Mexico markets;2020-09-12
2;auxiliary communities Investor;Realigned;Configuration;Som one-to-one Auto Loan Account;92432;indexing Lempira;2020-09-11;2020-09-12;2020-09-12;toolset;2020-09-12
3;Assistant;card e-tailers;Chief withdrawal;Wooden Pataca;50822;Synergized Licensed Plastic Shoes;2020-09-12;2020-09-12;2020-09-11;Chief;2020-09-11
4;Vanuatu;mobile;Corporate;Clothing neural;64777;Chicken ROI;2020-09-11;2020-09-12;2020-09-12;help-desk Borders;2020-09-12
5;alarm Avon redundant;Ergonomic Fresh Pants card e-tailers;Shoes Bedfordshire schemas;best-of-breed;20081;fault-tolerant open-source invoice;2020-09-11;2020-09-11;2020-09-12;initiatives;2020-09-11
6;Euro Refined Granite Pants;Baby generating grow;purple Horizontal copying;tangible RSS;21345;AGP;2020-09-11;2020-09-11;2020-09-12;cross-platform;2020-09-12
7;protocol;Bike web-readiness virtual;aggregate Licensed attitude-oriented;transmitter Graphical User Interface strategize;37155;white navigating;2020-09-12;2020-09-11;2020-09-11;Associate Games Credit Card Account;2020-09-12
8;HDD Route;wireless Svalbard & Jan Mayen Islands;Tuna;Pizza;92464;program Cotton;2020-09-11;2020-09-11;2020-09-12;mission-critical;2020-09-12
9;Central;Metal morph red;Technician Village;next-generation Persistent Fresh;8762;1080p 4th generation Unbranded Concrete Shirt;2020-09-12;2020-09-12;2020-09-11;interface;2020-09-12
10;Assurance Costa Rican Colon Devolved;turquoise;Agent Norway hack;standardization;72829;Research;2020-09-12;2020-09-11;2020-09-12;Generic Metal Hat Credit Card Account quantifying;2020-09-12
